-0.82428886,-0.449685889,-0.245064891
-0.816563627,-0.449695426,-0.245207885
-0.811100303,-0.449704937,-0.245351022
-0.806876386,-0.449714423,-0.245494303
-0.803436426,-0.449723882,-0.245637729
-0.800537473,-0.449733315,-0.245781299
-0.798034507,-0.449742722,-0.245925013
-0.795833986,-0.449752103,-0.246068873
-0.793872043,-0.449761458,-0.246212878
-0.792103122,-0.449770787,-0.246357027
-0.790493586,-0.449780089,-0.246501323
-0.789017892,-0.449789365,-0.246645764
-0.787656185,-0.449798614,-0.246790351
-0.786392724,-0.449807837,-0.246935084
-0.785214821,-0.449817034,-0.247079964
-0.784112095,-0.449826204,-0.24722499
-0.783075951,-0.449835348,-0.247370162
-0.782099186,-0.449844465,-0.247515482
-0.781175708,-0.449853555,-0.247660949
-0.780300316,-0.449862619,-0.247806564
-0.779468536,-0.449871656,-0.247952326
-0.778676491,-0.449880667,-0.248098236
-0.7779208,-0.44988965,-0.248244293
-0.777198493,-0.449898607,-0.2483905
-0.776506954,-0.449907536,-0.248536854
-0.77584386,-0.449916439,-0.248683358
-0.775207144,-0.449925315,-0.24883001
-0.774594954,-0.449934164,-0.248976811
-0.774005629,-0.449942986,-0.249123762
-0.77343767,-0.44995178,-0.249270862
-0.772889721,-0.449960548,-0.249418112
-0.772360551,-0.449969288,-0.249565513
-0.77184904,-0.449978001,-0.249713063
-0.771354165,-0.449986687,-0.249860764
-0.77087499,-0.449995345,-0.250008615
-0.770410654,-0.450003976,-0.250156617
-0.769960368,-0.45001258,-0.250304771
-0.769523401,-0.450021156,-0.250453076
-0.769099081,-0.450029705,-0.250601532
-0.768686784,-0.450038226,-0.25075014
-0.76828593,-0.450046719,-0.2508989
-0.767895983,-0.450055185,-0.251047812
-0.76751644,-0.450063623,-0.251196877
-0.767146836,-0.450072034,-0.251346095
-0.766786734,-0.450080416,-0.251495465
-0.766435727,-0.450088771,-0.251644988
-0.76609343,-0.450097098,-0.251794665
-0.765759487,-0.450105397,-0.251944495
-0.765433561,-0.450113668,-0.252094479
-0.765115333,-0.450121911,-0.252244618
-0.764804507,-0.450130126,-0.25239491
-0.764500801,-0.450138313,-0.252545357
-0.764203948,-0.450146472,-0.252695958
-0.763913699,-0.450154602,-0.252846715
-0.763629815,-0.450162705,-0.252997626
-0.763352073,-0.450170779,-0.253148693
-0.763080258,-0.450178825,-0.253299916
-0.762814169,-0.450186842,-0.253451294
-0.762553614,-0.450194831,-0.253602829
-0.762298411,-0.450202791,-0.25375452
-0.762048385,-0.450210723,-0.253906367
-0.761803372,-0.450218627,-0.254058371
-0.761563215,-0.450226502,-0.254210532
-0.761327762,-0.450234348,-0.254362851
-0.761096872,-0.450242165,-0.254515326
-0.760870408,-0.450249954,-0.25466796
-0.760648238,-0.450257714,-0.254820751
-0.760430238,-0.450265445,-0.254973701
-0.760216288,-0.450273147,-0.255126809
-0.760006274,-0.450280821,-0.255280076
-0.759800086,-0.450288465,-0.255433501
-0.759597619,-0.45029608,-0.255587086
-0.759398772,-0.450303667,-0.25574083
-0.759203449,-0.450311224,-0.255894734
-0.759011557,-0.450318752,-0.256048797
-0.758823005,-0.450326251,-0.25620302
-0.75863771,-0.45033372,-0.256357404
-0.758455587,-0.45034116,-0.256511949
-0.758276558,-0.450348571,-0.256666654
-0.758100545,-0.450355953,-0.25682152
-0.757927477,-0.450363305,-0.256976547
-0.75775728,-0.450370627,-0.257131736
-0.757589888,-0.45037792,-0.257287087
-0.757425234,-0.450385184,-0.257442599
-0.757263254,-0.450392417,-0.257598274
-0.757103887,-0.450399621,-0.257754111
-0.756947073,-0.450406796,-0.257910111
-0.756792756,-0.45041394,-0.258066274
-0.756640879,-0.450421055,-0.2582226
-0.75649139,-0.45042814,-0.25837909
-0.756344236,-0.450435195,-0.258535743
-0.756199367,-0.45044222,-0.258692561
-0.756056735,-0.450449215,-0.258849542
-0.755916292,-0.45045618,-0.259006688
-0.755777994,-0.450463115,-0.259163998
-0.755641796,-0.450470019,-0.259321474
-0.755507654,-0.450476894,-0.259479114
-0.755375529,-0.450483738,-0.25963692
-0.755245379,-0.450490552,-0.259794892
-0.755117166,-0.450497335,-0.25995303
-0.754990852,-0.450504088,-0.260111334
-0.7548664,-0.450510811,-0.260269804
-0.754743774,-0.450517503,-0.260428441
-0.75462294,-0.450524165,-0.260587245
-0.754503864,-0.450530796,-0.260746216
-0.754386513,-0.450537396,-0.260905354
-0.754270856,-0.450543966,-0.26106466
-0.754156861,-0.450550504,-0.261224134
-0.754044499,-0.450557013,-0.261383776
-0.75393374,-0.45056349,-0.261543587
-0.753824555,-0.450569936,-0.261703566
-0.753716918,-0.450576352,-0.261863715
-0.753610801,-0.450582736,-0.262024032
-0.753506178,-0.450589089,-0.262184519
-0.753403023,-0.450595412,-0.262345176
-0.753301311,-0.450601703,-0.262506003
-0.753201018,-0.450607963,-0.262667
-0.753102121,-0.450614191,-0.262828167
-0.753004596,-0.450620389,-0.262989505
-0.75290842,-0.450626555,-0.263151015
-0.752813572,-0.450632689,-0.263312695
-0.752720031,-0.450638792,-0.263474547
-0.752627774,-0.450644864,-0.263636571
-0.752536783,-0.450650904,-0.263798767
-0.752447037,-0.450656913,-0.263961135
-0.752358517,-0.45066289,-0.264123676
-0.752271203,-0.450668835,-0.26428639
-0.752185078,-0.450674748,-0.264449277
-0.752100122,-0.45068063,-0.264612337
-0.752016319,-0.45068648,-0.264775571
-0.751933651,-0.450692298,-0.264938978
-0.751852101,-0.450698084,-0.26510256
-0.751771652,-0.450703838,-0.265266317
-0.75169229,-0.45070956,-0.265430248
-0.751613996,-0.450715249,-0.265594354
-0.751536758,-0.450720907,-0.265758635
-0.751460558,-0.450726532,-0.265923092
-0.751385382,-0.450732126,-0.266087725
-0.751311217,-0.450737686,-0.266252533
-0.751238047,-0.450743215,-0.266417518
-0.751165859,-0.450748711,-0.26658268
-0.75109464,-0.450754175,-0.266748018
-0.751024375,-0.450759606,-0.266913534
-0.750955053,-0.450765004,-0.267079227
-0.75088666,-0.45077037,-0.267245098
-0.750819184,-0.450775704,-0.267411146
-0.750752612,-0.450781004,-0.267577373
-0.750686933,-0.450786272,-0.267743779
-0.750622135,-0.450791507,-0.267910363
-0.750558206,-0.450796709,-0.268077126
-0.750495135,-0.450801878,-0.268244069
-0.750432912,-0.450807014,-0.268411191
-0.750371524,-0.450812117,-0.268578493
-0.750310963,-0.450817187,-0.268745975
-0.750251216,-0.450822224,-0.268913638
-0.750192275,-0.450827228,-0.269081481
-0.750134128,-0.450832198,-0.269249506
-0.750076767,-0.450837135,-0.269417711
-0.750020181,-0.450842039,-0.269586099
-0.74996436,-0.45084691,-0.269754668
-0.749909297,-0.450851746,-0.269923419
-0.749854981,-0.45085655,-0.270092353
-0.749801404,-0.45086132,-0.270261469
